名称,address,类别,111
孟姜女传说,秦皇岛市山海关区文化馆,民间文学,秦皇岛市山海关区文化馆
耿村民间故事,石家庄市藁城区文化馆,民间文学,石家庄市藁城区文化馆
河间歌诗,河间市文化馆,民间文学,河间市文化馆
契丹始祖传说,平泉市文化馆,民间文学,平泉市文化馆
鬼谷子传说,临漳县文化馆,民间文学,临漳县文化馆
唢呐艺术（唐山花吹）,唐山市曹妃甸区文化馆,传统音乐,唐山市曹妃甸区文化馆
唢呐艺术（丰宁满族吵子会）,丰宁满族自治县非物质文化遗产保护中心,传统音乐,丰宁满族自治县非物质文化遗产保护中心
河北鼓吹乐,邯郸市永年区文化馆,传统音乐,邯郸市永年区文化馆
河北鼓吹乐,秦皇岛市抚宁区文化馆,传统音乐,秦皇岛市抚宁区文化馆
冀中笙管乐（屈家营音乐会）,固安县文物和非物质文化遗产所（固安县博物馆）,传统音乐,固安县文物和非物质文化遗产所（固安县博物馆）
冀中笙管乐（高洛音乐会）,涞水县文化馆,传统音乐,涞水县文化馆
冀中笙管乐（高桥音乐会）,霸州市文化馆,传统音乐,霸州市文化馆
冀中笙管乐（胜芳音乐会）,霸州市文化馆,传统音乐,霸州市文化馆
冀中笙管乐（雄县古乐）,雄县文化馆,传统音乐,雄县文化馆
冀中笙管乐（小冯村音乐会）,固安县文物和非物质文化遗产所（固安县博物馆）,传统音乐,固安县文物和非物质文化遗产所（固安县博物馆）
冀中笙管乐（张庄音乐会）,霸州市文化馆,传统音乐,霸州市文化馆
冀中笙管乐（军卢村音乐会）,安次区文化馆,传统音乐,安次区文化馆
冀中笙管乐（东张务音乐会）,安次区文化馆,传统音乐,安次区文化馆
冀中笙管乐（南响口梵呗音乐会）,安次区文化馆,传统音乐,安次区文化馆
冀中笙管乐（里东庄音乐老会）,河北省文安县文化馆,传统音乐,河北省文安县文化馆
冀中笙管乐（辛安庄民间音乐会）,任丘市文化馆,传统音乐,任丘市文化馆
冀中笙管乐（安新县圈头村音乐会）,安新县非物质文化遗产保护协会,传统音乐,安新县非物质文化遗产保护协会
冀中笙管乐（东韩村拾幡古乐）,易县文化馆,传统音乐,易县文化馆
冀中笙管乐（子位吹歌）,定州市文化馆,传统音乐,定州市文化馆
昌黎民歌,昌黎县文化馆,传统音乐,昌黎县文化馆
锣鼓艺术（常山战鼓）,正定县文化馆,传统音乐,正定县文化馆
道教音乐（广宗太平道乐）,广宗县文化馆,传统音乐,广宗县文化馆
道教音乐（花张蒙道教音乐）,定州市文化馆,传统音乐,定州市文化馆
秧歌（昌黎地秧歌）,昌黎县文化馆,传统舞蹈,昌黎县文化馆
秧歌（乐亭地秧歌）,乐亭县文化遗产传承中心,传统舞蹈,乐亭县文化遗产传承中心
秧歌（滦州地秧歌）,滦州市文化馆,传统舞蹈,滦州市文化馆
井陉拉花,井陉县文化馆,传统舞蹈,井陉县文化馆
龙舞（易县摆字龙灯）,易县文化馆,传统舞蹈,易县文化馆
龙舞（曲周龙灯）,曲周县文化馆,传统舞蹈,曲周县文化馆
狮舞（徐水舞狮）,保定市徐水区文化馆,传统舞蹈,保定市徐水区文化馆
狮舞（沧县狮舞）,沧州刘吉舞狮大世界有限责任公司,传统舞蹈,沧州刘吉舞狮大世界有限责任公司
鼓舞（隆尧招子鼓）,隆尧县文化馆,传统舞蹈,隆尧县文化馆
麒麟舞,黄骅市文化馆,传统舞蹈,黄骅市文化馆
沧州落子,南皮县文化馆,传统舞蹈,南皮县文化馆
晋剧,张家口戏曲艺术研究院,传统戏剧,张家口戏曲艺术研究院
